image,text
../../datasets/Styles/style0/There are a lot of people walking in the train station.jpg,There are a lot of people walking in the train station
../../datasets/Styles/style0/A woman on an indoor tennis court about to serve.jpg,A woman on an indoor tennis court about to serve
../../datasets/Styles/style0/A group of women smile at the camera as they eat a meal.jpg,A group of women smile at the camera as they eat a meal
../../datasets/Styles/style0/A man is driving a boat on a river.jpg,A man is driving a boat on a river
../../datasets/Styles/style0/A blue cake is sitting on a table.jpg,A blue cake is sitting on a table
../../datasets/Styles/style0/Two buckets sit next to a light blue toilet.jpg,Two buckets sit next to a light blue toilet
../../datasets/Styles/style0/A man with a skateboard walking through a park.jpg,A man with a skateboard walking through a park
../../datasets/Styles/style0/Two bears in a river looking for fish.jpg,Two bears in a river looking for fish
../../datasets/Styles/style0/A man riding a wave on top of a white surfboard.jpg,A man riding a wave on top of a white surfboard
../../datasets/Styles/style0/An assortment of fresh fruit is displayed on a table.jpg,An assortment of fresh fruit is displayed on a table
../../datasets/Styles/style0/a cluster of broke down buses at a station.jpg,a cluster of broke down buses at a station
../../datasets/Styles/style0/A fork stuck in the coin slot of a parking meter.jpg,A fork stuck in the coin slot of a parking meter
../../datasets/Styles/style0/There is a building with a clock on the front.jpg,There is a building with a clock on the front
../../datasets/Styles/style0/A close up shot of a computer keyboard.jpg,A close up shot of a computer keyboard
../../datasets/Styles/style0/A couple of animals that are touching each other.jpg,A couple of animals that are touching each other
../../datasets/Styles/style0/a red bus peaked in an empty paved lot next to a building.jpg,a red bus peaked in an empty paved lot next to a building
../../datasets/Styles/style0/a bench on a sidewalk near a building.jpg,a bench on a sidewalk near a building
../../datasets/Styles/style0/a dog jumping up in the air to catch a frisbee.jpg,a dog jumping up in the air to catch a frisbee
../../datasets/Styles/style0/A couple of people sitting in a grass field.jpg,A couple of people sitting in a grass field
../../datasets/Styles/style0/A man is carrying a surfboard on the beach.jpg,A man is carrying a surfboard on the beach
../../datasets/Styles/style0/a cat is laying on top of a dog.jpg,a cat is laying on top of a dog
../../datasets/Styles/style0/Tiled men's restroom with a wet floor sign.jpg,Tiled men's restroom with a wet floor sign
../../datasets/Styles/style0/A small handmade pizza is shown on a white plate.jpg,A small handmade pizza is shown on a white plate
../../datasets/Styles/style0/A woman lighting the candles of a birthday cake.jpg,A woman lighting the candles of a birthday cake
../../datasets/Styles/style0/A kitten falls asleep in a pair of loafers.jpg,A kitten falls asleep in a pair of loafers
../../datasets/Styles/style0/Many vegetables and fruits sit next to wine bottles.jpg,Many vegetables and fruits sit next to wine bottles
../../datasets/Styles/style0/Three computers screens are lit up and sitting on a desk.jpg,Three computers screens are lit up and sitting on a desk
../../datasets/Styles/style0/A man making something in bowls in a room.jpg,A man making something in bowls in a room
../../datasets/Styles/style0/Three doughnuts arranged on two plates on a table.jpg,Three doughnuts arranged on two plates on a table
../../datasets/Styles/style0/Sheep grazing on a rocky mountainside covered in grass.jpg,Sheep grazing on a rocky mountainside covered in grass
"../../datasets/Styles/style0/Two elephants in a dirt yard, cement wall enclosure.jpg","Two elephants in a dirt yard, cement wall enclosure"
../../datasets/Styles/style0/A pancake cut in to squares ready to be eaten.jpg,A pancake cut in to squares ready to be eaten
../../datasets/Styles/style0/A tower with a clock in the center of the side in the air.jpg,A tower with a clock in the center of the side in the air
../../datasets/Styles/style0/a man eating something out of a plastic wrapper.jpg,a man eating something out of a plastic wrapper
../../datasets/Styles/style0/People line up outside in the rain to protest.jpg,People line up outside in the rain to protest
