image,text
../../datasets/Styles/style2/A train coming down the tracks through a town.jpg,A train coming down the tracks through a town
../../datasets/Styles/style2/woman in jeans in kitchen taking the milk out.jpg,woman in jeans in kitchen taking the milk out
../../datasets/Styles/style2/A man skiing downhill in the snow.jpg,A man skiing downhill in the snow
../../datasets/Styles/style2/A young girl on the beach flying a kite.jpg,A young girl on the beach flying a kite
../../datasets/Styles/style2/Two slices of pepperoni and cheese pizza on a table.jpg,Two slices of pepperoni and cheese pizza on a table
../../datasets/Styles/style2/Man on a surfboard under a large wave.jpg,Man on a surfboard under a large wave
../../datasets/Styles/style2/Someone is having a meal complete with vegetables and a meat.jpg,Someone is having a meal complete with vegetables and a meat
../../datasets/Styles/style2/A mysterious man is about to eat a banana.jpg,A mysterious man is about to eat a banana
../../datasets/Styles/style2/A woman in grey and white sweater holding a ceramic carrot.jpg,A woman in grey and white sweater holding a ceramic carrot
../../datasets/Styles/style2/A black and white sheep is sitting in the bushes.jpg,A black and white sheep is sitting in the bushes
../../datasets/Styles/style2/A man riding on the back of a parked motorcycle.jpg,A man riding on the back of a parked motorcycle
../../datasets/Styles/style2/some jets and airplanes and small trucks and a building.jpg,some jets and airplanes and small trucks and a building
../../datasets/Styles/style2/A view of the street at a red light in a city.jpg,A view of the street at a red light in a city
../../datasets/Styles/style2/A red double decker bus parked in front of a tall building.jpg,A red double decker bus parked in front of a tall building
../../datasets/Styles/style2/A man holding up two cells phones to the sides of his face.jpg,A man holding up two cells phones to the sides of his face
../../datasets/Styles/style2/Poised to slice into an iced multi-layer cake.jpg,Poised to slice into an iced multi-layer cake
../../datasets/Styles/style2/A person on a snowboard catching some air over a hill.jpg,A person on a snowboard catching some air over a hill
../../datasets/Styles/style2/A brown and white animal standing next to a marina.jpg,A brown and white animal standing next to a marina
../../datasets/Styles/style2/People line up to get pizza and fruit from a buffet.jpg,People line up to get pizza and fruit from a buffet
../../datasets/Styles/style2/FIVE HORSES AND POLICE MEN LINED ON IN A ROW.jpg,FIVE HORSES AND POLICE MEN LINED ON IN A ROW
../../datasets/Styles/style2/Digital billboard outside a modern suburban high school.jpg,Digital billboard outside a modern suburban high school
../../datasets/Styles/style2/Three people with back packs and dogs in the woods.jpg,Three people with back packs and dogs in the woods
../../datasets/Styles/style2/A lovely fall flower arrangement sits in an unusual vase.jpg,A lovely fall flower arrangement sits in an unusual vase
../../datasets/Styles/style2/A BEAGLE IS ENJOYING HIMSELF LOOKING OUT THE WINDSHIELD.jpg,A BEAGLE IS ENJOYING HIMSELF LOOKING OUT THE WINDSHIELD
../../datasets/Styles/style2/Two zebra standing next to each other on a dry grass field.jpg,Two zebra standing next to each other on a dry grass field
../../datasets/Styles/style2/a bed with an open laptop on top of the bed.jpg,a bed with an open laptop on top of the bed
../../datasets/Styles/style2/A flat screen television mounted on a wall.jpg,A flat screen television mounted on a wall
../../datasets/Styles/style2/a person in all red skiing down a slope.jpg,a person in all red skiing down a slope
../../datasets/Styles/style2/Multiple baskets full of various different vegetables on crates.jpg,Multiple baskets full of various different vegetables on crates
../../datasets/Styles/style2/Three giraffes are standing in a brushy field.jpg,Three giraffes are standing in a brushy field
"../../datasets/Styles/style2/The man is dressed in a suit, tie, and hat for a photo.jpg","The man is dressed in a suit, tie, and hat for a photo"
../../datasets/Styles/style2/a man and his dog are floating on a surfboard in the water.jpg,a man and his dog are floating on a surfboard in the water
../../datasets/Styles/style2/a double deckered bus on a city street.jpg,a double deckered bus on a city street
../../datasets/Styles/style2/Red colored animals displayed near plants in indoor setting.jpg,Red colored animals displayed near plants in indoor setting
../../datasets/Styles/style2/a shower view of a curtain and sink  with a tiled wall.jpg,a shower view of a curtain and sink  with a tiled wall
../../datasets/Styles/style2/A couple of young girls are behind the gate observing a black cow.jpg,A couple of young girls are behind the gate observing a black cow
../../datasets/Styles/style2/A brown dog chewing on an orange toy.jpg,A brown dog chewing on an orange toy
../../datasets/Styles/style2/A pair of zebras standing around in a pen.jpg,A pair of zebras standing around in a pen
../../datasets/Styles/style2/A man jumps onto the saddle of a moving horse.jpg,A man jumps onto the saddle of a moving horse
../../datasets/Styles/style2/A double decker bus is next to the sidewalk.jpg,A double decker bus is next to the sidewalk
../../datasets/Styles/style2/A little boy flies a kite in the green meadow beyond a town.jpg,A little boy flies a kite in the green meadow beyond a town
../../datasets/Styles/style2/A stop sign sitting near a church with some Mountains in the background.jpg,A stop sign sitting near a church with some Mountains in the background
