image,text
../../datasets/FIDStyles/style3/A large kitchen with granite counter tops and greenery..jpg,A large kitchen with granite counter tops and greenery.
../../datasets/FIDStyles/style3/A plate of food on a dining table..jpg,A plate of food on a dining table.
../../datasets/FIDStyles/style3/A pot of flowers soak up the sun near the window..jpg,A pot of flowers soak up the sun near the window.
../../datasets/FIDStyles/style3/A motorcycle parked behind a man riding  a motorcycle..jpg,A motorcycle parked behind a man riding  a motorcycle.
../../datasets/FIDStyles/style3/A group of sheep eating grass on a very sunny day..jpg,A group of sheep eating grass on a very sunny day.
../../datasets/FIDStyles/style3/a child walking in a mess with books that he made.jpg,a child walking in a mess with books that he made
../../datasets/FIDStyles/style3/A walkway alongside a train which appears to be stopped at the station..jpg,A walkway alongside a train which appears to be stopped at the station.
../../datasets/FIDStyles/style3/A group of people around the television watching the Wii..jpg,A group of people around the television watching the Wii.
../../datasets/FIDStyles/style3/Two men on  a bust street using their phones..jpg,Two men on  a bust street using their phones.
../../datasets/FIDStyles/style3/Two children holding Wii remotes next to a projector.jpg,Two children holding Wii remotes next to a projector
../../datasets/FIDStyles/style3/A bull and two calves block a vehicle from going down a road..jpg,A bull and two calves block a vehicle from going down a road.
../../datasets/FIDStyles/style3/some surfers and body boarders in the water.jpg,some surfers and body boarders in the water
"../../datasets/FIDStyles/style3/A collage of cats, cows, and goats in grassy areas..jpg","A collage of cats, cows, and goats in grassy areas."
../../datasets/FIDStyles/style3/On this picnic table in front of a lake there is plate with toast and jam and a mug..jpg,On this picnic table in front of a lake there is plate with toast and jam and a mug.
../../datasets/FIDStyles/style3/A red double decker bus is seen in London..jpg,A red double decker bus is seen in London.
../../datasets/FIDStyles/style3/a man in a suit is walking across a bridge.jpg,a man in a suit is walking across a bridge
../../datasets/FIDStyles/style3/A wooden dock with metal railings and benches..jpg,A wooden dock with metal railings and benches.
../../datasets/FIDStyles/style3/Coffee on a display next to a laptop.jpg,Coffee on a display next to a laptop
../../datasets/FIDStyles/style3/Tennis players are playing on a bright blue court..jpg,Tennis players are playing on a bright blue court.
../../datasets/FIDStyles/style3/Two people sit on a bench by the water on a sunny day..jpg,Two people sit on a bench by the water on a sunny day.
../../datasets/FIDStyles/style3/A roller suitcase opened up and propped open..jpg,A roller suitcase opened up and propped open.
../../datasets/FIDStyles/style3/A laptop on a person's legs on a couch..jpg,A laptop on a person's legs on a couch.
../../datasets/FIDStyles/style3/Couple of young elephants playing in the water.jpg,Couple of young elephants playing in the water
../../datasets/FIDStyles/style3/A stop sign with a street light in the background..jpg,A stop sign with a street light in the background.
../../datasets/FIDStyles/style3/Double doors open into a bathroom with a footed tub..jpg,Double doors open into a bathroom with a footed tub.
../../datasets/FIDStyles/style3/Closeup of the head of a white cow on road..jpg,Closeup of the head of a white cow on road.
../../datasets/FIDStyles/style3/a person in a body of water with a parachute.jpg,a person in a body of water with a parachute
../../datasets/FIDStyles/style3/A peeled banana sitting in between car seats..jpg,A peeled banana sitting in between car seats.
../../datasets/FIDStyles/style3/A parked motor bike next to a garage door..jpg,A parked motor bike next to a garage door.
../../datasets/FIDStyles/style3/A person on a snowboard with a snowy ground beneath him..jpg,A person on a snowboard with a snowy ground beneath him.
../../datasets/FIDStyles/style3/A little girl in a pink dress holding a teddy bear with a cat on her shoulder..jpg,A little girl in a pink dress holding a teddy bear with a cat on her shoulder.
../../datasets/FIDStyles/style3/A man standing in the doorway of a train car..jpg,A man standing in the doorway of a train car.
../../datasets/FIDStyles/style3/A herd of giraffes grazing the tree tops on the savannah..jpg,A herd of giraffes grazing the tree tops on the savannah.
../../datasets/FIDStyles/style3/a male in a blue shirt is at a skateboard park.jpg,a male in a blue shirt is at a skateboard park
../../datasets/FIDStyles/style3/Man on a surfboard under a large wave.jpg,Man on a surfboard under a large wave
../../datasets/FIDStyles/style3/A man and a elephant that are standing in the dirt..jpg,A man and a elephant that are standing in the dirt.
../../datasets/FIDStyles/style3/A little girl hides from the rain under a huge umbrella..jpg,A little girl hides from the rain under a huge umbrella.
../../datasets/FIDStyles/style3/a close up of a cake already cut in slices.jpg,a close up of a cake already cut in slices
../../datasets/FIDStyles/style3/there is a bowl of oranges on a table.jpg,there is a bowl of oranges on a table
../../datasets/FIDStyles/style3/Four people are drinking wine outside at a restaurant..jpg,Four people are drinking wine outside at a restaurant.
../../datasets/FIDStyles/style3/A red bus driving down a city street..jpg,A red bus driving down a city street.
../../datasets/FIDStyles/style3/a man with a big yellow scarf standing in the road.jpg,a man with a big yellow scarf standing in the road
../../datasets/FIDStyles/style3/A sandwich sitting on top of a white plate on top of a table..jpg,A sandwich sitting on top of a white plate on top of a table.
../../datasets/FIDStyles/style3/An elephant standing at a dense forest area.jpg,An elephant standing at a dense forest area
../../datasets/FIDStyles/style3/Someone in the air with a snowboard fresh off a ramp..jpg,Someone in the air with a snowboard fresh off a ramp.
../../datasets/FIDStyles/style3/A man's feet are off the ground with a shadow of a tennis racquet..jpg,A man's feet are off the ground with a shadow of a tennis racquet.
../../datasets/FIDStyles/style3/A group of people well dressed standing around a kitchen with lots of food..jpg,A group of people well dressed standing around a kitchen with lots of food.
../../datasets/FIDStyles/style3/A white toilet sitting next to a shower and a sink..jpg,A white toilet sitting next to a shower and a sink.
../../datasets/FIDStyles/style3/Two cows standing on a sandy area while eating blades of grass..jpg,Two cows standing on a sandy area while eating blades of grass.
../../datasets/FIDStyles/style3/A male tennis player playing tennis on a court..jpg,A male tennis player playing tennis on a court.
../../datasets/FIDStyles/style3/A dog on the grass holding a frisbee..jpg,A dog on the grass holding a frisbee.
"../../datasets/FIDStyles/style3/Blue kite with red tail stuck in white flowered trees, overcast sky..jpg","Blue kite with red tail stuck in white flowered trees, overcast sky."
../../datasets/FIDStyles/style3/A group of people standing around a large bench..jpg,A group of people standing around a large bench.
../../datasets/FIDStyles/style3/A young boy hitting a tennis ball with a tennis racket..jpg,A young boy hitting a tennis ball with a tennis racket.
../../datasets/FIDStyles/style3/Two young skiiers maker their way down the snowy slope..jpg,Two young skiiers maker their way down the snowy slope.
../../datasets/FIDStyles/style3/A picture of a white Wii remote control..jpg,A picture of a white Wii remote control.
"../../datasets/FIDStyles/style3/A lone kite flies in dark, stormy skies..jpg","A lone kite flies in dark, stormy skies."
../../datasets/FIDStyles/style3/a star balloon with a happy face in the sky.jpg,a star balloon with a happy face in the sky
../../datasets/FIDStyles/style3/A very cute stuffed animal with a bunch of items..jpg,A very cute stuffed animal with a bunch of items.
../../datasets/FIDStyles/style3/a giant transport truck without a cargo attachment.jpg,a giant transport truck without a cargo attachment
../../datasets/FIDStyles/style3/One large and two small ovens in a kitchen..jpg,One large and two small ovens in a kitchen.
../../datasets/FIDStyles/style3/A row of boats on water with sky in background..jpg,A row of boats on water with sky in background.
../../datasets/FIDStyles/style3/A man sitting on top of a picnic table with a dog..jpg,A man sitting on top of a picnic table with a dog.
../../datasets/FIDStyles/style3/Several people standing around a table full of beer bottles..jpg,Several people standing around a table full of beer bottles.
../../datasets/FIDStyles/style3/There is a tunnel with a sign before you go in it.jpg,There is a tunnel with a sign before you go in it
../../datasets/FIDStyles/style3/frog with teeth sitting on a toothbrush with reminders.jpg,frog with teeth sitting on a toothbrush with reminders
../../datasets/FIDStyles/style3/Objects neatly aligned on the floor in rows..jpg,Objects neatly aligned on the floor in rows.
../../datasets/FIDStyles/style3/a sheep dog watching a group of sheep in a field.jpg,a sheep dog watching a group of sheep in a field
../../datasets/FIDStyles/style3/Women doing sudoku with her cat on her shoulder..jpg,Women doing sudoku with her cat on her shoulder.
"../../datasets/FIDStyles/style3/Small, quaint and clean bathroom with soft toned colors.jpg","Small, quaint and clean bathroom with soft toned colors"
../../datasets/FIDStyles/style3/The two cows are fenced in the field..jpg,The two cows are fenced in the field.
../../datasets/FIDStyles/style3/some people at tables and laptops and lights.jpg,some people at tables and laptops and lights
../../datasets/FIDStyles/style3/A photo of someone's luggage on the sidewalk..jpg,A photo of someone's luggage on the sidewalk.
../../datasets/FIDStyles/style3/A man buttoning up a child's pants front of some doors..jpg,A man buttoning up a child's pants front of some doors.
../../datasets/FIDStyles/style3/a young man skiing down a ski slope.jpg,a young man skiing down a ski slope
../../datasets/FIDStyles/style3/A crowd of people standing around a giant elephant..jpg,A crowd of people standing around a giant elephant.
../../datasets/FIDStyles/style3/Birds lounge beside two zebras in the grass.jpg,Birds lounge beside two zebras in the grass
../../datasets/FIDStyles/style3/Professional baseball players giving each other a high five by the dugout.jpg,Professional baseball players giving each other a high five by the dugout
../../datasets/FIDStyles/style3/A surfer standing on his surfboard in the ocean catching a wave..jpg,A surfer standing on his surfboard in the ocean catching a wave.
../../datasets/FIDStyles/style3/A red dirt bike up on a stand.jpg,A red dirt bike up on a stand
../../datasets/FIDStyles/style3/A white dog wears a blue bow tie while attached on a pink leash..jpg,A white dog wears a blue bow tie while attached on a pink leash.
../../datasets/FIDStyles/style3/The front section of an Armed Forces jet is seen..jpg,The front section of an Armed Forces jet is seen.
../../datasets/FIDStyles/style3/Two men next to each other holding racquets..jpg,Two men next to each other holding racquets.
../../datasets/FIDStyles/style3/Some young people playing some softball on the beach at night..jpg,Some young people playing some softball on the beach at night.
../../datasets/FIDStyles/style3/A man in short pants a vest and tie standing in front of a white wall..jpg,A man in short pants a vest and tie standing in front of a white wall.
../../datasets/FIDStyles/style3/A young skier going down a snowy slope..jpg,A young skier going down a snowy slope.
../../datasets/FIDStyles/style3/small plane with long wings fly through the air.jpg,small plane with long wings fly through the air
../../datasets/FIDStyles/style3/a close up of two people talking on cell phones.jpg,a close up of two people talking on cell phones
../../datasets/FIDStyles/style3/Two people are looking at themselves in the mirror above the arrow..jpg,Two people are looking at themselves in the mirror above the arrow.
../../datasets/FIDStyles/style3/The pick up truck is filled with fresh fruit in back of it..jpg,The pick up truck is filled with fresh fruit in back of it.
../../datasets/FIDStyles/style3/A child sitting in a booth while he eats a piece of pizza that he is holding..jpg,A child sitting in a booth while he eats a piece of pizza that he is holding.
../../datasets/FIDStyles/style3/Young girl riding skate board with safety gear and playmates near by..jpg,Young girl riding skate board with safety gear and playmates near by.
../../datasets/FIDStyles/style3/a field that has some cows in it.jpg,a field that has some cows in it
../../datasets/FIDStyles/style3/A bed with a sign on it and sheets hanging on the rails..jpg,A bed with a sign on it and sheets hanging on the rails.
../../datasets/FIDStyles/style3/A bathroom has swinging saloon style stall doors.jpg,A bathroom has swinging saloon style stall doors
../../datasets/FIDStyles/style3/Several kites flying through the sky on a clear day..jpg,Several kites flying through the sky on a clear day.
../../datasets/FIDStyles/style3/THERE IS A BENCH ON THE GRASS LAWN IN THE CORNER.jpg,THERE IS A BENCH ON THE GRASS LAWN IN THE CORNER
../../datasets/FIDStyles/style3/A woman washes her hands at a bathroom sink..jpg,A woman washes her hands at a bathroom sink.
../../datasets/FIDStyles/style3/A baseball player swinging a bat into a ball..jpg,A baseball player swinging a bat into a ball.
../../datasets/FIDStyles/style3/A man kiteboard over a river with foamy water..jpg,A man kiteboard over a river with foamy water.
